number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state,kernel,params_gamma_mode,params_gamma_type,params_gamma_value,params_coef0,params_degree,params_gamma_value 
0,0.7642329783864398,2025-09-22 02:19:47.015116,2025-09-22 02:19:47.019663,0 days 00:00:00.004547,0.17670169402947947,0.6351221010640693,"[0.8643963886370706, 0.9234333683668446, 0.8233711204766032, 0.36588225162429244, 0.8440817628273876]",0.2019573829605907,"{'kernel': 'linear', 'C': 0.17670169402947947, 'epsilon': 0.6351221010640693}",COMPLETE,linear,,,,,,
1,0.7954908361993824,2025-09-22 02:19:47.019971,2025-09-22 02:19:47.030060,0 days 00:00:00.010089,24.658329458549094,0.024810409748678108,"[0.7680759841527673, 0.823157079524619, 0.8446559521678783, 0.8169447814162417, 0.7246203837354054]",0.04339837913674073,"{'kernel': 'linear', 'C': 24.658329458549094, 'epsilon': 0.024810409748678108}",COMPLETE,linear,,,,,,
2,0.42845833739142386,2025-09-22 02:19:47.030335,2025-09-22 02:19:47.032449,0 days 00:00:00.002114,0.008632008168602545,0.0004207053950287938,"[0.47888405765382136, 0.5387729530820986, 0.5057897829042095, 0.28351239428518604, 0.33533249903180373]",0.10037327169839448,"{'kernel': 'linear', 'C': 0.008632008168602545, 'epsilon': 0.0004207053950287938}",COMPLETE,linear,,,,,,
3,0.012719393053282246,2025-09-22 02:19:47.032629,2025-09-22 02:19:47.034498,0 days 00:00:00.001869,0.002231010801867922,0.29154431891537524,"[0.09115850097407363, 0.17671795760913855, 0.12462172620367162, -0.07125439810434764, -0.25764682141612494]",0.15856849782992483,"{'kernel': 'linear', 'C': 0.002231010801867922, 'epsilon': 0.29154431891537524}",COMPLETE,linear,,,,,,
4,0.8131339881648707,2025-09-22 02:19:47.034773,2025-09-22 02:19:47.038412,0 days 00:00:00.003639,4.0428727350273315,0.06796578090758154,"[0.8194007225793104, 0.834989802318215, 0.8666022206909163, 0.7889690126083964, 0.7557081826275155]",0.0380984767339721,"{'kernel': 'linear', 'C': 4.0428727350273315, 'epsilon': 0.06796578090758154}",COMPLETE,linear,,,,,,
5,-0.05052023028141661,2025-09-22 02:19:47.038656,2025-09-22 02:19:47.041446,0 days 00:00:00.002790,0.0013289448722869186,0.7579479953347994,"[0.05647336944331627, 0.0772642425412674, 0.05536397305331675, -0.17185356831247334, -0.26984916813251014]",0.1426989336253823,"{'kernel': 'linear', 'C': 0.0013289448722869186, 'epsilon': 0.7579479953347994}",COMPLETE,linear,,,,,,
6,0.7904664147871159,2025-09-22 02:19:47.041697,2025-09-22 02:19:47.074407,0 days 00:00:00.032710,98.77700294007911,0.0007068974950624604,"[0.7636601451869898, 0.8221712006654491, 0.8402138387590712, 0.7988421146329805, 0.7274447746910885]",0.04059668754372037,"{'kernel': 'linear', 'C': 98.77700294007911, 'epsilon': 0.0007068974950624604}",COMPLETE,linear,,,,,,
7,0.5717968879826056,2025-09-22 02:19:47.074657,2025-09-22 02:19:47.076643,0 days 00:00:00.001986,0.012329623163659839,0.0005415244119402539,"[0.5806414546419235, 0.6557835082388528, 0.6536093163337633, 0.5104089163905489, 0.45854124430793963]",0.07800073852794161,"{'kernel': 'linear', 'C': 0.012329623163659839, 'epsilon': 0.0005415244119402539}",COMPLETE,linear,,,,,,
8,0.8295964251599409,2025-09-22 02:19:47.076812,2025-09-22 02:19:47.078716,0 days 00:00:00.001904,0.06690421166498801,0.012561043700013555,"[0.7754315303605668, 0.8166771943584136, 0.9413402118049187, 0.8873116518699967, 0.727221537405809]",0.07667995989012118,"{'kernel': 'linear', 'C': 0.06690421166498801, 'epsilon': 0.012561043700013555}",COMPLETE,linear,,,,,,
9,0.8104398466303138,2025-09-22 02:19:47.078880,2025-09-22 02:19:47.081240,0 days 00:00:00.002360,0.39054412752107914,0.0014618962793704966,"[0.7629328289484198, 0.8035534248177973, 0.9115653868569583, 0.8430290337243659, 0.7311185588040272]",0.06306288328075417,"{'kernel': 'linear', 'C': 0.39054412752107914, 'epsilon': 0.0014618962793704966}",COMPLETE,linear,,,,,,
